KIC,period,class
1026032,8.460437800000001,sp
1026957,21.761305800000002,sp
1161345,4.2874555,sp
1432214,161.7883,fl
1433410,0.2832752,ev
1433980,1.5926344,ev
1571511,14.022451,sp?
1572353,0.2289313,ev
1573836,3.5570929,hb
1575690,2.2524281000000004,sp
1722276,569.95,sp
1868650,0.5847312,ev
1873513,3.2903828,sp?
1995732,77.3627213,fl
2010607,18.632296,hb
2012362,0.3863229,ev
2019076,7.129228200000001,sp
2141697,0.3310425,ev
2159783,0.3738842,ev
2161623,2.2834697999999998,ev
2162283,0.9063779000000001,ev
2162994,4.1015955,sp
2166200,8.0969564,fl
2167890,2.6483007,sp
2302092,0.29467340000000003,ev
2305277,0.3787718,ev
2305372,1.404692,ev
2305543,1.3622735000000001,sp
2306740,10.306987,sp
2306756,386.6,fl
2307199,13.4471107,sp?
2307206,204.0313791,fl
2308957,2.2196838,ev
2309587,1.8385106,sp
2309719,54.3563603,sp?
2435971,0.271828,ev
2436378,8.531613,fl
2437038,0.2676785,ev
2437060,3.1871104,sp
2437149,18.798734699999997,fl
2437452,14.4699302,sp?
2437505,21.476422,fl
2438061,4.885852099999999,sp
2438490,3.3157672999999996,sp
2440757,1.4337707,sp?
2441161,4.38398,sp
2442084,49.788597700000004,sp
2444187,0.3901594,ev
2444348,103.2069891,fl
2445134,8.4120089,sp?
2445975,3.3888824,sp
2446623,175.06572,fl
2447893,0.66162,sp?
2448320,0.2741085,ev
2449084,0.7397571,ev
2449090,4.944,sp
2450566,1.8445870999999998,ev
2452440,8.0970448,sp
2453212,0.436716,ev
2556127,0.41887129999999995,ev?
2557430,1.2977364,sp
2558370,0.5462481,sp?
2569494,1.5233235,ot
2570289,0.2790278,ev
2571439,0.32097909999999996,ev
2576107,205.58301699999998,fl
2576692,87.8785329,fl
2577756,0.8703334999999999,ev?
2580872,15.926627599999998,sp
2693092,39.8415237,fl
2694741,0.32664740000000003,ev
2695740,3.6158751000000002,ev
2696703,6.094094,pu
2697935,21.5133595,hb
2708156,1.8912721000000001,ot
2708614,52.8858904,fl
2711114,2.8588804,sp
2715007,0.2971105,ev
2715417,0.23643989999999998,ev
2717141,0.3945715,ev
2719436,0.7434797,ev
2719873,17.279290200000002,sp
2720096,26.674679700000002,hb
2720354,2.8213281,pu
2831632,2.573172,ev
2835289,0.8577619000000001,ev
2851100,0.8901084,fl
2851474,2.7682927000000004,ev
2852560,11.9613082,sp
2854432,0.3223256,ev
2854752,0.47043290000000004,ev
2854948,0.9743044,sp
2858322,0.4363999,ev
2860594,5.499944599999999,ev
2860788,5.2597422,sp
2970804,0.6869923000000001,fl
2972514,0.5034853,ev
2973509,6.6276114,sp
2983113,0.39516009999999996,ev
2987433,420.93,fl
2988984,0.7130196,ev
2996347,0.3010109,ev
2997455,1.12985,sp?
2998124,28.597884399999998,fl
3003991,7.2447788,sp
3097352,4.02984,sp
3098194,30.4765309,sp
3102000,57.0600095,sp
3102024,13.7825215,sp
3104113,0.846786,ev
3113266,0.9958613000000002,fl
3114667,0.8885831,sp
3115480,3.6937025,sp
3119295,0.4396981,ev
3120320,10.265613400000001,sp
3122985,0.9934885,sp
3124420,0.9489508,sp?
3127817,4.3271394,sp?
3127873,0.6715256,ev
3128793,24.6793813,sp
3218683,0.7716695,sp
3221207,0.4738303,ev
3222471,618.42,sp
3228824,0.7309423,fl
3228863,0.7309439999999999,ev
3230227,7.047106200000001,hb
3230578,6.337610099999999,ev
3230787,17.734052300000002,sp
3231120,3.90009,sp
3232823,0.42390690000000003,ev
3240159,82.13765490000002,fl
3240706,5.489865099999999,fl
3240976,15.238869099999999,hb
3241344,3.9126782999999996,sp
3241619,1.7033444,sp
3245776,1.4920589,ev
3247294,67.4188276,fl
3248019,2.6682217,sp
3248332,7.363606599999999,sp?
3323289,33.693201200000004,sp
3327980,4.2310217,ev
3335816,7.4220063,sp
3338660,1.8733805000000001,ev
3339538,14.6580139,sp
3339563,0.8412315,ev
3340313,30.5537,fl
3341934,18.8394967,sp?
3342425,0.39341479999999995,ev
3342592,17.177326100000002,fl
3344427,0.6517851,sp
3345675,120.00401029999999,fl
3347485,7.5448413,ev
3348093,7.96442,sp
3351945,1.0805381,sp
3352751,3.4954552000000003,ev
3353233,0.3157777,ev
3354616,0.27698259999999997,ot
3427776,4.0166817,sp
3428468,114.90867959999999,fl
3431321,1.0150487,ev
3433668,15.0217983,sp
3437778,0.6355819,ev
3437800,0.3626791,ev
3438975,2.9760959,fl
3439031,5.9520263,ev
3439180,0.3250651,ev
3440230,2.8811009999999997,ev
3441784,52.5687259,pu?
3442054,117.68138200000001,sp?
3443519,0.353627,ev
3443790,1.6657838,sp
3448245,0.51349,ev
3449540,3.2120062000000003,sp
3454864,0.2941204,ev
3458919,0.8920610000000001,sp
3459199,3.1410343,sp
3530668,1.9462005,sp
3534118,178.4135574,fl
3542573,6.9427958,sp
3543270,4.176929400000001,sp
3544694,3.8457,sp
3545476,0.3176886,ev
3547091,3.3055782,sp
3547111,1.2078358999999999,ev
3547315,1.2847,sp
3547874,19.692172199999998,hb
3549994,0.3471816,ev
3556229,0.7967201999999999,ev
3557421,0.3937276,ev
3558822,1.3534207,ev
3558981,2.9878584999999998,sp
3560212,0.3460643,ev
3633901,0.807387,ev
3641446,2.1000143,ev
3644542,119.6797949,fl
3654950,8.1347246,sp
3655326,15.066503400000002,fl
3656322,3.6636036,sp
3659940,0.8962698,sp
3662635,0.9393754999999999,sp
3729724,16.4187555,hb
3730067,0.29407859999999997,ev
3732732,0.3961872,ev
3734660,19.9421366,hb
3734868,10.328036,sp
3735597,1.9663556,ev
3735629,9.3283461,sp
3743834,0.2736148,ev
3745184,0.30423279999999997,ev
3749404,20.306385199999998,hb
3749508,1.0657337,sp
3756730,0.3791639,ev
3757588,24.089980899999997,sp
3757590,135.58606980000002,fl
3757778,36.5143967,fl
3761175,5.1623434,ev
3764714,6.6332758,hb
3765708,0.43141890000000005,ev
3765771,5.5677174,fl
3766353,2.6669647999999997,hb
3830820,15.582788,sp?
3832382,0.2726487,ev
3833859,0.4317433,ev
3834322,0.996858,sp
3834364,2.9084548999999997,sp
3836439,1.5403954,ev
3836522,1.5403797,fl
3837677,0.46198409999999995,ev
3838496,5.9803964999999994,sp
3839964,0.2561499,ev
3848042,0.4114527,ev
3848919,1.0472603,sp
3848972,0.7410574000000001,sp?
3849155,1.1683132999999999,fl
3850086,19.1142466,ot
3851193,1.3410787,ev
3851320,1.2385693000000002,ev
3851949,54.771107799999996,fl
3852655,11.629058,sp
3853259,0.2766478,ev
3853673,0.6437959,fl
3858879,25.9523109,fl
3858884,25.951930899999997,pu
3858949,25.951138699999998,fl
3861595,3.8493669,sp
3862171,6.9964614,ot
3862246,4.7024935,sp
3865298,9.530634599999999,sp
3867593,73.33202170000001,pu
3869326,8.586044000000001,fl
3869825,4.8006556,ot
3935319,0.3531307,ev
3936357,0.36915359999999997,ev
3938073,31.0243119,sp?
3953106,13.174370000000001,sp
3953981,0.49201720000000004,ev
3954227,0.594276,sp?
3954798,0.91848,ev
3955867,33.6599615,sp
3956545,0.33028009999999997,ev
3956881,0.6969455,ev
3957477,0.9790521999999999,sp
3958488,0.622891,ev
3964545,3.0124754,sp
3965242,0.9967235999999999,sp
3965556,6.556770200000001,ot
3966491,1.3519722,ev
3966912,55.6636799,fl
3969362,0.4105683,ev
3970117,110.29512209999999,fl
3970233,8.2549143,sp
3971315,9.8922771,fl
3972629,0.2442402,ev
3973002,3.9841974000000002,sp
3973504,4.3187277,sp
3973549,1.3899549999999998,sp?
4035675,2.8736622000000005,sp
4036687,0.2997993,ev
4037163,0.635444,sp?
4037428,4.2647283,sp
4042026,34.8200461,fl
4043443,119.84024009999999,sp?
4044005,17.5119471,sp
4049124,4.8044707,sp
4054905,274.7090224,fl
4055092,76.4531535,fl
4058169,282.5361601,fl
4059656,4.0593977,sp?
4066203,0.3625492,ev
4069063,0.5042960999999999,ev
4069213,5.1942561,ev
4070376,1.6346136,ev
4071600,1.6746345,ev
4073678,0.28824429999999995,ev?
4074532,0.3531526,ev
4074708,0.30211659999999996,ev
4075064,61.4228063,sp
4076952,9.7611686,ev
4077442,0.6928422,ev
4078157,16.0246714,fl
4078693,2.7565307999999997,sp
4079530,17.7271,sp?
4138301,0.2533791,ev
4142768,27.991603,ot
4144236,22.9134572,sp?
4149684,4.3208494,sp
4150136,9.4784025,ot
4150390,55.2514777,fl
4157488,5.1974199,ev
4159347,12.283555300000002,sp
4164393,49.6127564,fl
4165960,13.549178099999999,fl
4168013,0.3108761,ev
4169521,1.1725557,ev
4174507,3.891825,sp
4178389,23.210523300000002,sp
4241946,0.284384,ev
4242692,2.2770704,sp
4244929,0.3414027,ev
4245897,11.2578219,ev
4247023,47.1906146,fl
4247092,21.0564163,fl
4247991,104.35,sp
4248941,8.644597599999999,ot
4249218,0.3161948,ev
4252226,21.8589584,sp
4252322,14.591516500000001,sp
4253860,155.0611116,ot
4255422,165.4057448,fl
4263529,10.1040158,sp
4273411,1.2196984,ev
4275739,4.343656299999999,sp
4276114,3.7224071000000003,sp
4281895,9.543588,fl
4285087,4.4860312,sp
4346875,4.6942191,sp
4349483,0.5091405999999999,ev
4350454,0.9656582,ev
4352168,10.6437482,sp
4357272,2.0859499,sp
4358206,0.9511619,sp?
4359851,13.542328,ot
4360072,1087.3,fl
4365442,1.7144131999999999,fl
4365461,3.4288300000000005,ev
4366923,646.29,sp?
4367544,2.3912218999999997,ot
4372379,4.5351710999999995,ot
4372705,1.2786674999999998,ev
4372765,15.6398,fl
4375101,61.2596016,fl
4376644,27.677704300000002,sp?
4377638,2.8218747000000004,ot
4380283,1.7447194,sp
4385109,0.27464770000000005,ev
4386047,2.90069,sp
4445630,5.6279121,sp?
4450976,12.044869,ot
4451148,0.7359835,ev
4454219,1.225733,sp?
4455763,0.7662979999999999,sp
4456622,1.5028164,sp?
4458989,0.5298544,ev
4459068,24.955994600000004,ot
4464999,0.4341644,ev
4466356,14.1281577,fl
4466691,0.4826514,ev
4470124,11.4389838,ot
4473933,103.5926245,sp
4474193,0.3225048,ev
4474637,3.8867254,ev
4476900,0.2796663,ev
4480676,1.4239338,sp?
4484356,1.1441593,sp?
4540632,31.005399100000005,sp
4544587,2.1890973,ot
4545729,18.3835201,ot
4547067,0.407575,ev
4547308,0.5769285,ev
4547480,4.4269474,sp
4550750,1.5677741000000003,ev
4551328,1.0441159,ot
4554004,0.7425074,ev
4563150,0.2747205,ev
4569590,41.3701999,sp
4569923,0.3135835,ev
4570326,1.1215525,ev
4571536,0.676715,fl
4574310,1.3062201,ev
4578594,252.155,fl
4579321,2.1123950000000002,sp
4586482,623.0,fl
4633434,22.2712087,sp?
4638237,290.14,fl
4639868,53.1009652,sp
4647652,1.064824,ev
4649305,22.6511384,ot
4649324,1.0356908,ev
4649440,19.3707322,fl
4651526,0.29814509999999994,ev
4659255,198.013278,fl
4659476,58.99637370000001,ot
4660997,0.5625604000000001,ev
4661397,0.2923249,ev
4661634,73.8941769,fl
4663623,358.1,fl
4665989,2.2480672999999998,ev
4669402,8.4964677,ot
4669592,0.3784276,ev
4670267,2.0060984,ev
4671584,5.5933253,sp
4672934,0.3827468,ev
4677321,1.5721808000000002,ev
4678171,15.2887092,sp?
4679687,1.0279026,sp?
4681152,1.8359218999999998,ev?
4729553,0.9612925999999999,ev
4736208,63.68189079999999,ot
4737267,9.5240765,sp
4737302,9.4555885,ev
4738426,0.24883520000000003,ev
4739194,1.246586,ev
4739791,0.8989210999999999,ev
4740676,3.4542411,ev
4743508,2.0860790000000002,sp
4743626,1.3028753999999998,ev
4751083,4.532369999999999,sp
4753988,7.304425999999999,sp?
4757331,2.3620885,sp
4758092,0.289166,ev
4758368,3.7499354,ev
4760746,15.0680733,fl
4761060,3.3613913,ot
4762887,0.7365736999999999,ev
4769799,21.9293139,ev
4773155,25.7060003,sp?
4815612,3.8568,sp
4824268,152.1514239,fl
4826439,2.4742946,ev
4832197,1.8954654999999998,sp
4839180,8.8526867,sp
4840263,1.9156478,sp
4840327,26.7371326,sp?
4840818,10.0495365,sp
4843222,0.3874053,ev
4843592,0.4835365,fl
4847343,11.416917,ot
4847369,12.350014100000001,ot
4847832,30.960236600000005,fl
4847843,30.9597261,sp
4848423,3.0036527000000004,ev
4850874,1.7759009999999997,ev
4851217,2.47028,ev
4851464,5.5482571,sp?
4852055,2.414857,ev?
4853067,1.3409216,ev
4857282,0.2507526,ev?
4859432,0.38548000000000004,ev
4860932,12.365356,fl
4862625,20.0002491,sp
4902030,1.7576060000000002,sp
4904304,0.389474,ev
4908495,3.1203152999999997,sp
4909422,0.3951035,ev
4909707,2.3023637000000003,ev
4912589,68.3766074,sp
4912991,8.885034800000001,sp
4921906,0.21373240000000002,ev
4928119,44.6390151,fl
4929299,0.8687195,sp
4931073,26.9512358,sp?
4932348,38.0367727,fl
4932691,18.1120792,sp?
4935914,3.4863333,sp
4936180,4.6409218,ot
4936334,0.3543686,ev
4936680,0.6662267,ev
4936990,10.3145092,sp?
4937143,9.848875999999999,sp?
4937217,0.42934170000000005,ev
4940201,8.816628300000001,sp
4940438,9.085907,ot
4941060,0.30342240000000004,ev
4945035,1.174683,fl
4945588,1.1290799999999999,ev
4945857,0.33541479999999996,ev
4946584,0.45397170000000003,ot
4946680,8.665260400000001,fl
4947528,0.4969885,ev
4947726,4.7260862,sp
4948863,8.643590300000001,sp?
4949187,11.977391699999998,ot
4949194,41.2632016,ot
4949770,1.5640913,ev
4950505,0.2948091,ev
4950557,24.714791199999997,fl
4954113,0.668027,ev
4990977,2.649025,sp
4991959,0.3609387,ev
4999260,0.37836820000000004,ev
4999357,0.9901293999999999,ev
5000179,3.6329355000000003,ev
5003117,37.60909829999999,fl
5005570,0.42284390000000005,ev
5005618,340.96721099999996,fl
5006817,94.8119689,ot
5008287,0.2918775,ev
5014753,3.1706263999999997,sp
5015913,2.3599371,fl
5015926,0.36268740000000005,ev
5016163,5.2456595,sp
5017058,2.3238947999999997,ev
5017127,20.0064041,ot
5018787,0.6071918000000001,sp?
5020034,2.1191112000000003,ev
5021174,4.045054,sp
5021732,15.039506900000001,fl
5022440,3.6939502999999996,sp
5022573,0.44172449999999996,ev
5022908,0.6372483,ev
5023948,3.6492928,sp
5024292,4.3010324,sp
5024447,771.83,fl
5024450,3.0518511000000004,sp?
5025261,2.1714108,ev
5025294,5.4626904000000005,sp
5033682,0.3799156,ev
5034333,6.93228,ot
5035972,49.266827299999996,fl
5036538,2.1220164,sp
5036966,62.735,fl
5039392,236.72794059999998,ot
5039441,2.1513832,sp
5041569,2.5354363999999996,fl
5041843,0.4572343,ev
5041975,2.9599290000000003,ev
5077629,7.919369500000001,sp
5077994,0.6962874,ev
5078879,1.0393706,fl
5080652,4.1443566,sp
5088735,0.5075008,sp?
5090690,24.0233248,ot
5090937,8.8006929,ot
5091614,21.1424579,sp
5095269,18.6119616,fl
5097446,1.2880641000000002,ev
5098444,26.9489863,sp?
5103998,174.77016559999998,sp
5104097,0.2753953,ev?
5107226,310.9164267,fl
5110423,5.370434099999999,fl
5112567,1.6158919,sp?
5113053,3.1850998,sp
5115178,12.8517242,fl
5122112,3.05517,sp
5123176,0.7078436,ev
5127005,1.6211241000000003,ev
5128972,0.5053236,ev
5129777,26.158530300000002,ot
5130380,19.983,fl
5130740,210.302519,sp
5166136,0.23394770000000004,ev
5174346,0.35059229999999997,ev
5174677,43.542844,fl
5175668,21.8821152,ot
5179609,43.930966399999996,fl
5181455,5.5796309,sp
5181804,4.3505,sp
5193386,21.378293600000003,sp
5195137,0.324117,ev
5196301,1.9104098000000003,sp?
5197256,6.9633883,ev
5198934,0.8347392,ev
5199426,78.60436240000001,fl
5199489,0.46481590000000006,ev
5201619,0.5072760000000001,ev
5211385,1.6606874,ev
5211470,4.808595400000001,ot
5213466,2.8193115,sp?
5215700,1.3124021000000001,ev?
5215999,2.5311576000000002,ev
5216727,1.5130232,sp
5217586,26.0688098,fl
5217733,161.252379,fl
5217781,564.4073852000001,sp?
5218014,10.845292599999999,sp?
5218385,0.2815375,ev
5218441,3.6137546,ev
5255552,32.4486352,sp?
5259926,0.43780979999999997,ev
5263802,6.7005059000000005,ev?
5264304,120.58,fl
5264818,1.9050502,ev
5266937,5.917086299999999,ev
5269407,0.9588711,sp
5282049,5.910377099999999,sp
5282464,0.4963991,ev
5283266,0.3146487,ev
5283839,0.3152311,ev
5284133,8.7845759,sp
5284262,17.9633117,ot
5285607,3.8994011,ev
5286221,15.2959828,ot
5286786,9.9487462,fl
5287983,2.5071049,fl
5288543,3.4570754999999997,sp
5290305,0.6205088000000001,ev
5294739,3.7359952000000005,ev
5296276,1.8920026,ev
5296877,0.3772645,ev
5297298,34.193606,fl
5300878,1.2794431999999998,sp?
5302006,0.15117120000000003,ev
5306720,27.364523499999997,fl
5306862,2.0256383000000002,sp?
5307780,0.3088511,ev
5308778,40.5654998,sp
5309353,1.37638,fl
5310387,0.4416691,ev
5310435,4.9313644,ev
5343976,4.3313919,sp
5347537,345.18422169999997,sp?
5347784,9.584058800000001,sp
5353374,0.3933205,ev
5353653,0.3685569,ev
5356593,45.9778676,sp
5357682,0.7177063,ev
5357882,0.3874025,ev
5358200,0.5359480999999999,ev
5359678,6.2306099999999995,sp
5369419,0.4376804,ev
5369827,3.606928,sp
5370302,3.9043269,sp
5371109,1.1918616000000002,ev
5372966,9.2863571,sp
5374883,0.4197169,ev
5374999,0.4578798,ev
5376552,0.5038186,ev
5376836,3.4794252,sp
5377349,1.1167657,ev?
5384713,60.3268036,sp
5384802,6.0830927,sp
5385723,12.4449256,ot
5386810,0.8888906999999999,sp?
5389616,0.40688379999999996,ev
5390351,0.5474536,ev
5392897,42.3992987,fl
5393558,10.217103300000002,sp
5394544,0.43197440000000004,ev?
5396122,15.444304,fl
5398002,14.153174900000002,ot
5425950,0.3781682,ev
5428668,1.406701,fl
5435816,181.8519094,fl
5439790,0.7960862,ev
5440746,0.48265379999999997,ev
5444392,1.5195284,ev?
5450322,0.4240191,ev
5450814,6.4875324999999995,sp
5456023,131.978307,fl
5458880,3.5116888999999993,ev?
5459373,0.2866088,ev
5460835,21.5392736,sp?
5461570,0.5076606,ev
5462901,5.2707264,sp
5468295,0.3520118,ev
5471619,0.9628353999999999,ev
5473556,11.2588244,sp
5474733,0.8837752000000001,fl
5475624,1.0698433999999999,ev
5475712,2.9918851,ev
5477805,5.0067095,sp
5478466,0.48250129999999997,ev
5479973,1.7952732,ev
5481426,4.768102799999999,sp?
5511076,6.5131991,ot
5513861,1.5102117,ev
5524325,0.6249786999999999,ev
5527172,3.1839666,sp
5529643,0.7597663,fl
5530881,5.0825222000000005,sp
5534702,1.0254659,ev
5534814,9.7187752,sp
5534965,243.8212435,fl
5535061,0.46343019999999996,ev
5535280,74.9853012,fl
5543482,0.2948275,ev
5546761,17.6706523,fl
5553624,25.7620711,sp
5553652,24.3282319,fl
5557368,0.2979309,ev
5560831,0.867721,ev
5563300,71.054766,fl
5563814,0.3082342,ev
5565486,2.8250472999999996,sp?
5567438,0.5845398,ev
5596440,10.474856800000001,ot
5597970,6.717384299999999,sp
5598639,1.2975514,ev
5606644,0.8619311,ev
5608566,4.396997,sp
5610698,4.1325281,ev
5611561,0.2586947,ev
5611763,0.361605,ev
5615528,0.3391748,ev
5615815,0.6742496,ev
5617953,0.298696,ev
5620981,0.3335163,ev
5621294,0.9389049,ev
5622250,16.2942135,ot
5623774,1.1336298999999999,fl
5623923,1.2087496000000002,ev
5629353,33.325,sp
5630212,47.5847646,sp
5632781,11.025202199999999,ot
5636642,0.9335,fl
5640750,987.3,fl
5642620,0.986791,sp
5643492,41.8654718,sp
5647008,0.7998616999999999,sp
5648449,4.3488637,sp
5649206,4.893473999999999,sp
5649325,391.1,fl
5649956,2.41574,sp
5652260,8.929260000000001,sp?
5652983,498.374739,fl
5653126,38.496882299999996,sp?
5685072,0.2559051,ev
5696909,0.6430031,ot
5699617,0.28891659999999997,ev
5700330,53.220414100000006,sp
5702939,18.398200699999997,fl
5703230,0.7314739,ev
5707897,8.4160911,ot
5716244,1.3303328,ev
5716763,0.6406607,fl
5728139,10.668165,sp?
5728283,6.198279299999999,fl
5730394,5.5191777,sp
5731312,7.946382400000001,fl
5733154,62.5199034,ot
5733384,1.5467094,ev
5735878,16.8320824,fl
5736461,7.3461642000000005,sp
5736537,1.7615294999999997,ev
5737474,0.3979422,ev
5738506,9.5014787,fl
5738698,4.8087739,ev
5768927,4.390511599999999,sp
5770431,0.39243649999999997,ev
5770860,0.7375618,ev
5771589,10.7391422,sp
5771719,12.264877,sp
5771961,26.0664367,ot
5773205,0.2668707,ev?
5774375,1.5499774,ev
5779852,504.15592010000006,fl
5781192,9.4599934,sp
5783368,1.8638734000000001,ev
5783676,0.4014453,ev
5785551,0.2666875,ev
5785586,0.4596214,ev?
5786154,197.9207814,fl
5786545,0.28057509999999997,ev
5790807,79.9962462,ot
5790912,0.3833172,ev
5791886,0.3251705,ev
5792093,0.6005881,ev
5795648,4.5533695,sp
5796185,42.5592351,sp
5796675,16.0806761,sp
5801571,1.6771942,ot
5802285,2.4170498,sp
5802470,3.7918726,sp
5802486,2.1478398,fl
5802834,1.0924428999999998,ev
5807579,17.844325100000002,sp
5809827,1.22211,ev
5809868,0.4393902,ev
5816806,4.4554359,fl
5817566,8.412198199999999,sp?
5818706,14.9599406,ot
5820209,0.6560869,ev
5821050,1.9333686,ev
5823121,2.2980007000000002,ev
5858519,4.1825,sp
5866099,36.976706,sp?
5866104,36.976,fl
5866138,342.3,fl
5871918,12.6432974,sp
5872150,20.355103399999997,fl
5872506,2.1260885,ev
5872696,0.1726132,ev
5876360,1.0508445,sp?
5876805,18.1730361,fl
5877364,89.6485376,ot
5878081,0.5911339,ev
5878836,0.3548794,ev
5880320,12.109639300000001,sp?
5881838,0.3003313,ev
5887316,0.6030807,ev
5891963,0.28196,ot
5897826,33.8042028,sp?
5903301,2.3203301,ev
5942093,14.3873075,sp?
5944240,2.5532223999999997,ot
5951553,0.4319709,ev
5952403,0.9056778,ot
5955321,11.6378818,sp
5955731,1.0038296,ev
5956588,0.2729067,ev
5956776,0.5691149999999999,ev
5957123,2.8229754000000002,ev
5960283,0.2496681,ev
5960989,50.721533799999996,ot
5961327,0.299202,ev
5961350,5.2626684,ot
5962514,1.580099,ev
5962716,1.8046081000000003,ev?
5965819,8.240055400000001,fl
5966237,0.39758259999999995,ev
5975712,1.1360932,ev
5977736,1.5791302,ev
5978521,0.6081506999999999,ev
5979863,16.621854199999998,sp
5980800,0.4141629,ev?
5982353,19.563095,sp
5983348,25.150784299999998,fl
5983351,0.3211848,ev
5983532,147.28844850000002,sp
5984000,0.3230583,ev
5986209,23.7379705,sp
5988465,7.056526400000001,ev
5990753,7.2165917,fl
5991936,0.8074357,ot
5992270,58.43067979999999,sp
6023859,27.0098782,sp
6024572,0.41490959999999993,ev
6025124,26.8377244,sp
6025466,1.1278008,sp
6026204,2.2798149,ev
6028860,0.8440331,fl
6029130,12.591632,sp
6029214,0.8190664000000001,sp?
6034812,0.3673068,ev
6041734,24.3400239,sp
6042031,0.5371037,fl
6042116,5.4071576,ev
6042191,43.3909231,ot
6042214,27.0462338,fl
6042663,30.9717687,fl
6044064,5.0632068,sp
6044543,0.532086,ev
6045264,0.9093104,ev
6046061,0.2972557,ev?
6047498,1.0374450000000002,fl
6048024,62.816,sp
6048106,1.5593608,ev
6050116,0.2399081,ev
6056992,10.431153,sp
6057829,0.4834268,ev
6058614,1.7310801,sp
6058875,1.1298682,sp
6060580,2.3133689,sp
6061139,0.3224413,ev
6063448,76.0176958,ot
6066379,1.3038602,ev
6067735,0.44618149999999995,ev
6072195,2.8001229,ev
6072578,0.26967179999999996,ev
6103049,0.6431711999999999,sp
6105491,13.2996383,ot
6106771,0.2638263,ev
6109688,14.0867881,ot
6117415,19.741625199999998,ot
6118779,0.3642464,ev
6124941,5.6701440000000005,fl
6128027,5.4557662,sp
6128141,1.8726245,sp
6128248,0.2917436,ev
6131659,17.5278303,sp?
6137704,178.2679718,fl
6137885,12.7900994,ot
6141791,13.659034699999998,ot
6143826,1.35476,ev
6144827,0.23464970000000002,ev
6145939,17.7454139,sp
6146838,27.467201399999997,sp?
6147122,15.4514983,sp?
6147573,25.8368331,fl
6148271,1.7852901,fl
6153219,0.5303,ev
6153672,3.3644248,sp
6182019,3.6649654000000003,sp
6182849,6.399107,sp
6185717,11.7022037,sp
6187341,0.984599,sp?
6187893,0.7891676,ev
6191574,1.0345298,sp
6191945,6.807377000000001,sp
6197038,9.7517082,sp
6197319,1.6638043999999999,ev
6200709,3.7235300000000002,sp
6205460,3.722832,ev
6206751,1.2453334999999999,ev
6209347,2.1365771000000002,sp
6209824,1.2629743,ev
6213131,0.5614165,ev
6220470,8.144136,ev
6220497,1.3231671,ev
6223646,0.3649341,ev
6224853,0.5360475,ev
6227560,4.8035123,sp
6228703,8.4004137,ev
6231401,6.0919555999999995,sp
6233466,15.873306900000001,fl
6233903,5.9908477,sp
6262882,0.9965008,ev
6264091,0.3250179,ev
6265720,0.31242770000000003,ev
6267702,0.28319629999999996,ev
6268648,503.25,fl
6268722,2.638433,sp
6279974,0.8052593000000001,sp?
6281103,0.3632807,ev
6283224,0.7664732,sp
6286155,14.5418297,fl
6286161,14.541785199999998,sp
6286402,0.3433205,ev
6287172,0.20387320000000003,ev
6290382,6.128161,pu
6290740,15.1518271,ot
6292398,9.2398747,pu
6292925,13.6123475,ot
6301030,11.9911576,sp?
6302051,0.6658734000000001,ev
6302592,1.5780237,ev
6305192,8.0251572,sp
6307062,75.3790073,sp
6307083,376.9401671,sp
6307537,29.744524100000003,sp?
6311637,1.6208133999999998,sp
6311681,0.8447863999999999,fl
6312521,3.0155492,sp
6314173,1.433263,ev
6344429,0.40845909999999996,ev
6350020,0.2417928,ev
6353203,0.5085044,ev
6359771,0.4060683,ev
6359798,14.1540383,sp
6362386,4.5924016,ev?
6363494,1.8156333999999998,ev
6365321,0.8484849,sp?
6367628,3.7796922,ev
6368316,0.3385051,ev
6370120,1.3547770000000001,sp
6370361,0.45491040000000005,ev
6370558,60.3165845,ot
6370665,0.9323155999999999,ev
6372268,5.220046599999999,sp
6387193,553.99,fl
6387450,3.6613260999999997,sp
6387887,0.21690029999999996,ev
6388770,21.3419702,fl
6390205,0.4494018,ev
6421188,16.434354199999998,sp?
